codigo,aplicacion,instancia,ambienteSV,nombreSVHost,nombreSVOVM,ipV4
SI013,PORTAL WEB INSTITUCIONAL,N/A,PRODUCCIÓN,VSPORTALFRONT02,VSPORTALFRONT02,172.29.18.90
SI013,PORTAL WEB INSTITUCIONAL,N/A,PRODUCCIÓN,VSPORTALFRONT03,VSPORTALFRONT03,172.29.18.48
SI013,PORTAL WEB INSTITUCIONAL,N/A,PRODUCCIÓN,VSPORTALFRONT04,VSPORTALFRONT04,172.29.18.49
SI013,PORTAL WEB INSTITUCIONAL,WEB,PRODUCCIÓN,VSPORTALBD01,VSPORTALBD01,172.29.11.99
SI013,PORTAL WEB INSTITUCIONAL,WEB,PRODUCCIÓN,VSPORTALBD02,VSPORTALBD02,172.29.11.100
SI140,PROYECTO GESTIÓN DE CONOCIMIENTO,N/A,PRODUCCIÓN,VSPROGESCONDB01,VSPROGESCONDB01,172.29.11.36
SI140,PROYECTO GESTIÓN DE CONOCIMIENTO,SHAREPOINT,PREPRODUCCIÓN,VSPPAPGESCON01,VSPPAPGESCON01,172.29.35.201
SI140,PROYECTO GESTIÓN DE CONOCIMIENTO,SHAREPOINT,PREPRODUCCIÓN,VSPPBDGESCON01,VSPPBDGESCON01,172.29.35.202
SI140,PROYECTO GESTIÓN DE CONOCIMIENTO,SHAREPOINT,PRODUCCIÓN,VSPROGESCONBQ01,VSPROGESCONBQ01,172.29.19.213
SI140,PROYECTO GESTIÓN DE CONOCIMIENTO,SHAREPOINT,PRODUCCIÓN,VSPROGESCONBQ02,VSPROGESCONBQ02,172.29.19.214
SI140,PROYECTO GESTIÓN DE CONOCIMIENTO,SHAREPOINT,PRODUCCIÓN,VSPROGESCONCD01,VSPROGESCONCD01,172.29.19.246
SI140,PROYECTO GESTIÓN DE CONOCIMIENTO,SHAREPOINT,PRODUCCIÓN,VSPROGESCONCD02,VSPROGESCONCD02,172.29.19.247
SI140,PROYECTO GESTIÓN DE CONOCIMIENTO,SHAREPOINT,PRODUCCIÓN,VSPROGESCONDB02,VSPROGESCONDB02,172.29.11.40
SI140,PROYECTO GESTIÓN DE CONOCIMIENTO,SHAREPOINT,PRODUCCIÓN,VSPROGESCONDB03,VSPROGESCONDB03,172.29.11.45
SI140,PROYECTO GESTIÓN DE CONOCIMIENTO,SHAREPOINT,PRODUCCIÓN,VSPROGESCONFE01,VSPROGESCONFE01,172.29.19.248
SI140,PROYECTO GESTIÓN DE CONOCIMIENTO,SHAREPOINT,PRODUCCIÓN,VSPROGESCONFE02,VSPROGESCONFE02,172.29.19.249
SI106,REDMINE,N/A,PREPRODUCCIÓN,VSPPAPRMINE01,VSPPAPRMINE01,172.30.164.107
SI106,REDMINE,N/A,PRODUCCIÓN,VSREDMINEAPP01,VSREDMINEAPP01,172.29.19.245
SI110,REPOSITORIO SVN DESARROLLOS,N/A,PREPRODUCCIÓN,VSPPAPSVN01,VSPPAPSVN01,172.30.164.140
SI110,REPOSITORIO SVN DESARROLLOS,N/A,PRODUCCIÓN,VSPDAPSVN01,VSPDAPSVN01,172.30.163.34
SI181,RODOLFO,N/A,PREPRODUCCIÓN,VSPPAPRDOLF01,VSPPAPRDOLF01,172.30.164.106
SI181,RODOLFO,N/A,PREPRODUCCIÓN,VSPPBDRDOLF01,VSPPBDRDOLF01,172.31.4.172
SI181,RODOLFO,N/A,PRODUCCIÓN,VSPDAPRDOLF01,VSPDAPRDOLF01,172.30.163.134
SI181,RODOLFO,N/A,PRODUCCIÓN,VSPDBDRDOLF01,VSPDBDRDOLF01,172.31.4.86
SI175,MANTUM COMPUTER MANAGEMENT MAINTENANCE SYSTEM (CMMS),N/A,PRODUCCIÓN,VSPDAPCMMS01,VSPDAPCMMS01,172.29.19.145
SI175,MANTUM COMPUTER MANAGEMENT MAINTENANCE SYSTEM (CMMS),N/A,PRODUCCIÓN,VSPDAPCMMS02,VSPDAPCMMS02,172.29.19.146
SI175,MANTUM COMPUTER MANAGEMENT MAINTENANCE SYSTEM (CMMS),N/A,PRODUCCIÓN,VSPDBDCMMS01,VSPDBDCMMS01,172.29.11.16
SI175,MANTUM COMPUTER MANAGEMENT MAINTENANCE SYSTEM (CMMS),N/A,PRODUCCIÓN,VSPDBDCMMS02,VSPDBDCMMS02,172.29.11.17
SI175,MANTUM COMPUTER MANAGEMENT MAINTENANCE SYSTEM (CMMS),N/A,PRODUCCIÓN,VSPDFSCMMS01,VSPDFSCMMS01,172.29.19.200
SI104,SEDE ELECTRÓNICA,N/A,PRODUCCIÓN,sc01zdbadm21,N/A,172.29.10.80
SI104,SEDE ELECTRÓNICA,N/A,PRODUCCIÓN,sc01zdbadm09,N/A,172.29.10.58
HT015,SEDE ELECTRÓNICA COMPONENTE TRÁMITES,N/A,DESARROLLO,VSDEAPSECT01,VSDEAPSECT01,172.30.176.136
HT015,SEDE ELECTRÓNICA COMPONENTE TRÁMITES,N/A,PREPRODUCCIÓN,VSPPAPSECT01,VSPPAPSECT01,172.30.164.150
HT015,SEDE ELECTRÓNICA COMPONENTE TRÁMITES,N/A,PRODUCCIÓN,VSPDAPSECT01,VSPDAPSECT01,172.30.163.221
HT015,SEDE ELECTRÓNICA COMPONENTE TRÁMITES,N/A,PRODUCCIÓN,VSPDAPSECT02,VSPDAPSECT02,172.30.163.222
HT015,SEDE ELECTRÓNICA COMPONENTE TRÁMITES,N/A,PRODUCCIÓN,VSPDAPSECT03,VSPDAPSECT03,172.30.163.223
HT015,SEDE ELECTRÓNICA COMPONENTE TRÁMITES,N/A,PRODUCCIÓN,VSPDAPSECT04,VSPDAPSECT04,172.30.163.224
HT015,SEDE ELECTRÓNICA COMPONENTE TRÁMITES,N/A,PRODUCCIÓN,VSPDAPSECT05,VSPDAPSECT05,172.30.163.225
HT015,SEDE ELECTRÓNICA COMPONENTE TRÁMITES,N/A,PRODUCCIÓN,VSPDAPSECT06,VSPDAPSECT06,172.30.163.226
HT015,SEDE ELECTRÓNICA COMPONENTE TRÁMITES,N/A,PRODUCCIÓN,VSPDBDSECT02,VSPDBDSECT02,172.31.4.97
HT015,SEDE ELECTRÓNICA COMPONENTE TRÁMITES,SEDELE,PRODUCCIÓN,VSPDBDSECT01,VSPDBDSECT01,172.31.4.91
N/A,SENA PRUEBAS,N/A,PREPRODUCCIÓN,PRU-ANACOESQL01,PRU-ANACOESQL01,172.29.35.122
