codigo,aplicacion,nombreSV,estadoApp,ipV4,estadoipV4,ambienteSV, rol,so,ubicacion
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,192.168.24.31,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,192.168.24.32,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,192.168.28.17,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,,,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm17,Aplicado,172.29.10.106,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm17,Aplicado,172.29.10.107,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm17,Aplicado,172.29.10.77,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm17,Aplicado,172.29.10.87,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm17,Aplicado,172.29.20.71,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm17,Aplicado,172.30.139.29,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
