nombreAppCMDB,nombreAppEventos,nombrAppLB
SISTEMA ADMINISTRATIVO ORIONS,SISTEMA ADMINISTRATIVO ORIONS - CONSULTA,SISTEMA ADMINISTRATIVO ORIONS
SISTEMA AUTO AUDITORIA DE CONTROL INTERNO (AUTOAUDIT),SISTEMA AUTO AUDITORIA DE CONTROL INTERNO - AUTOAUDIT,SISTEMA AUTO AUDITORIA DE CONTROL INTERNO (AUTOAUDIT)
SISTEMA DE ADMINISTRACIÓN DE DATOS MAESTROS (SADAM),SISTEMA DE ADMINISTRACION DE DATOS MAESTROS -SADAM,SISTEMA DE ADMINISTRACIÓN DE DATOS MAESTROS (SADAM)
SISTEMA DE CERTIFICADO TRIBUTARIO DE APORTES PARAFISCALES (SGMM),Validar,Validar
SISTEMA DE EVALUACIÓN Y CERTIFICACIÓN DE COMPETENCIAS LABORALES (SECCL),SIS EVAL Y CERTI  COMPETENCIAS LABORALES SECCL,SISTEMA DE EVALUACIÓN Y CERTIFICACIÓN DE COMPETENCIAS LABORALES (SECCL)
Validar,SIS EVAL Y CERTIFI COMPETENCIAS LABORALES SECCL CONSULTA,Validar
SISTEMA DE GESTIÓN DE CENTROS (SGC),SISTEMA DE GESTION DE CENTROS - SGC - CONSULTA HISTORICA,SISTEMA DE GESTIÓN DE CENTROS (SGC)
SISTEMA DE GESTIÓN DE PROYECTO SENNOVA,CONVOCATORIAS-SENNOVA,Validar
SISTEMA DE INFORMACIÓN CARGUE Y REPORTE EVALUACIÓN DE DESEMPEÑO (SED),SIS DE INFO CARGUE Y REPORTE EVALUACION DE DESEMPENO -SED,SISTEMA DE INFORMACIÓN CARGUE Y REPORTE EVALUACIÓN DE DESEMPEÑO (SED)
SISTEMA DE INFORMACIÓN DE ADMINISTRACIÓN Y CONTROL DE BIENES (SACB) ,SIST DE INFO DE ADMINISTRACION Y CONTROL DE BIENES -SACB,SISTEMA DE INFORMACIÓN DE ADMINISTRACIÓN Y CONTROL DE BIENES (SACB) 
SISTEMA DE INFORMACIÓN DE BIBLIOTECAS - ALEPH500,SISTEMA DE INFORMACION DE BIBLIOTECAS-ALEPH500,SISTEMA DE INFORMACIÓN DE BIBLIOTECAS - ALEPH500
SISTEMA DE INFORMACIÓN DE BIBLIOTECAS - EZPROXY,SISTEMA DE INFORMACION DE BIBLIOTECAS - EZPROXY,SISTEMA DE INFORMACIÓN DE BIBLIOTECAS - EZPROXY
SISTEMA DE INFORMACIÓN DE BIBLIOTECAS - OPEN JOURNAL SYSTEM (OJS),SIS DE INFO DE BIBLIOTECAS - OPEN JOURNAL SYSTEM - OJS ,SISTEMA DE INFORMACIÓN DE BIBLIOTECAS - OPEN JOURNAL SYSTEM (OJS)
SISTEMA DE INFORMACIÓN DE BIBLIOTECAS - Repositorio institucional DSPACE,SIS DE INFO DE BIBLIOTECAS - REPOSITORIO INSTIT DSPACE,SISTEMA DE INFORMACIÓN DE BIBLIOTECAS - REPOSITORIO INSTITUCIONAL DSPACE
SISTEMA DE INFORMACIÓN DE CONTRATISTAS (SIC),SISTEMA DE INFORMACION DE CONTRATISTAS -SIC,SISTEMA DE INFORMACIÓN DE CONTRATISTAS (SIC)
SISTEMA DE INFORMACIÓN DE GESTIÓN VIRTUAL DE APRENDICES (SGVA),SIS DE INFO  DE GESTION VIRTUAL DE APRENDICES-SGVA,SISTEMA DE INFORMACIÓN DE GESTIÓN VIRTUAL DE APRENDICES (SGVA)
SISTEMA DE INFORMACIÓN DE LA EJECUCIÓN DE LA FORMACIÓN VIRTUAL (SIEFV),SIS DE INFO DE LA EJECUCION DE LA FORMACION VIRTUAL - SIEFV,SISTEMA DE INFORMACIÓN DE LA EJECUCIÓN DE LA FORMACIÓN VIRTUAL (SIEFV)
SISTEMA DE INFORMACIÓN DE LA ENI (SIENI),SISTEMA DE INFORMACION DE LA ENI - SIENI,SISTEMA DE INFORMACIÓN DE LA ENI (SIENI)
SISTEMA DE INFORMACIÓN DE PERMISOS SINDICALES (SIPS),SISTEMA DE INFORMACION DE PERMISOS SINDICALES - SIPS,SISTEMA DE INFORMACION DE PERMISOS SINDICALES (SIPS)
"SISTEMA DE INFORMACIÓN DE RECAUDO, CARTERA Y COBRO COACTIVO (SIREC)",SIS DE INFO DE RECAUDO CARTERA Y COBRO COACTIVO -SIREC,"SISTEMA DE INFORMACIÓN DE RECAUDO, CARTERA Y COBRO COACTIVO (SIREC)"
SISTEMA DE INFORMACIÓN DISCIPLINARIA (SID3),SISTEMA DE INFORMACION DISCIPLINARIA - SID3,SISTEMA DE INFORMACIÓN DISCIPLINARIA (SID3)
SISTEMA DE INFORMACIÓN OPTIMIZADO PARA LA FORMACIÓN INTEGRAL Y EL APRENDIZAJE ACTIVO (SOFIA PLUS),SIS INFO OPTIM FORM INTEG APRENDIZAJE ACTIVO -SOFIA PLUS,SISTEMA DE INFORMACIÓN OPTIMIZADO PARA LA FORMACIÓN INTEGRAL Y EL APRENDIZAJE ACTIVO (SOFIA PLUS)
SISTEMA DE INTELIGENCIA ORGANIZACIONAL DEL SENA (SIOS),SISTEMA DE INTELIGENCIA ORGANIZACIONAL DEL SENA - SIOS,SISTEMA DE INTELIGENCIA ORGANIZACIONAL DEL SENA (SIOS)
SISTEMA DE LA DIRECCIÓN DE FORMACIÓN PARA EL TRABAJO (DSNFT),SIS DE INFO DE LA DIR DE FORMACION PARA EL TRABAJO -DSNFT,SISTEMA DE LA DIRECCIÓN DE FORMACIÓN PARA EL TRABAJO (DSNFT)
SISTEMA DE TRANSFORMACIÓN DIGITAL EN SALUD (TDS),SISTEMA DE TRANSFORMACION DIGITAL EN SALUD - TDS,SISTEMA DE TRANSFORMACIÓN DIGITAL EN SALUD (TDS)
Validar,Validar,SISTEMA DE INFORMACIÓN DISCIPLINARIA (SID4)
SISTEMA DE VOTO ELECTRÓNICO,SISTEMA DE VOTO ELECTRONICO,SISTEMA DE VOTO ELECTRÓNICO
